Ref,Val,Package,PosX,PosY,Rot,Side
"LOGO89","SFE_LOGO_FLAME.1_INCH","SFE_LOGO_FLAME_.1",135.4201,-74.7776,180.0000,bottom
"LOGO90","OSHW-LOGOS","OSHW-LOGO-S",131.9911,-72.9996,-90.0000,bottom
"LOGO91","SFE_LOGO_FLAME.1_INCH","SFE_LOGO_FLAME_.1",151.1681,-74.7776,180.0000,bottom
"LOGO92","OSHW-LOGOS","OSHW-LOGO-S",147.7391,-72.9996,-90.0000,bottom
"LOGO93","SFE_LOGO_FLAME.1_INCH","SFE_LOGO_FLAME_.1",166.9161,-74.7776,180.0000,bottom
"LOGO94","OSHW-LOGOS","OSHW-LOGO-S",163.4871,-72.9996,-90.0000,bottom
"LOGO95","SFE_LOGO_FLAME.1_INCH","SFE_LOGO_FLAME_.1",182.6641,-74.7776,180.0000,bottom
"LOGO96","OSHW-LOGOS","OSHW-LOGO-S",179.2351,-72.9996,-90.0000,bottom
"LOGO97","SFE_LOGO_FLAME.1_INCH","SFE_LOGO_FLAME_.1",198.4121,-74.7776,180.0000,bottom
"LOGO98","OSHW-LOGOS","OSHW-LOGO-S",194.9831,-72.9996,-90.0000,bottom
"LOGO99","SFE_LOGO_FLAME.1_INCH","SFE_LOGO_FLAME_.1",103.9241,-61.5696,180.0000,bottom
"LOGO100","OSHW-LOGOS","OSHW-LOGO-S",100.4951,-59.7916,-90.0000,bottom
"LOGO101","SFE_LOGO_FLAME.1_INCH","SFE_LOGO_FLAME_.1",119.6721,-61.5696,180.0000,bottom
"LOGO102","OSHW-LOGOS","OSHW-LOGO-S",116.2431,-59.7916,-90.0000,bottom
"LOGO103","SFE_LOGO_FLAME.1_INCH","SFE_LOGO_FLAME_.1",135.4201,-61.5696,180.0000,bottom
"LOGO104","OSHW-LOGOS","OSHW-LOGO-S",131.9911,-59.7916,-90.0000,bottom
"LOGO105","SFE_LOGO_FLAME.1_INCH","SFE_LOGO_FLAME_.1",151.1681,-61.5696,180.0000,bottom
"LOGO106","OSHW-LOGOS","OSHW-LOGO-S",147.7391,-59.7916,-90.0000,bottom
"LOGO107","SFE_LOGO_FLAME.1_INCH","SFE_LOGO_FLAME_.1",166.9161,-61.5696,180.0000,bottom
"LOGO108","OSHW-LOGOS","OSHW-LOGO-S",163.4871,-59.7916,-90.0000,bottom
"LOGO109","SFE_LOGO_FLAME.1_INCH","SFE_LOGO_FLAME_.1",182.6641,-61.5696,180.0000,bottom
"LOGO110","OSHW-LOGOS","OSHW-LOGO-S",179.2351,-59.7916,-90.0000,bottom
"LOGO111","SFE_LOGO_FLAME.1_INCH","SFE_LOGO_FLAME_.1",198.4121,-61.5696,180.0000,bottom
"LOGO112","OSHW-LOGOS","OSHW-LOGO-S",194.9831,-59.7916,-90.0000,bottom
